PaymentMethod,MonthlyCharges,InternetService,DeviceProtection,OnlineSecurity
Electronic check,29.85,DSL,No,No
Mailed check,56.95,DSL,Yes,Yes
Mailed check,53.85,DSL,No,Yes
Bank transfer (automatic),42.3,DSL,Yes,Yes
Electronic check,70.7,Fiber optic,No,No
Electronic check,99.65,Fiber optic,Yes,No
Credit card (automatic),89.1,Fiber optic,No,No
Mailed check,29.75,DSL,No,Yes
Electronic check,104.8,Fiber optic,Yes,No
Bank transfer (automatic),56.15,DSL,No,Yes
Mailed check,49.95,DSL,No,Yes
Credit card (automatic),18.95,No,No internet service,No internet service
Credit card (automatic),100.35,Fiber optic,Yes,No
Bank transfer (automatic),103.7,Fiber optic,Yes,No
Electronic check,105.5,Fiber optic,Yes,Yes
Credit card (automatic),113.25,Fiber optic,Yes,Yes
Mailed check,20.65,No,No internet service,No internet service
Bank transfer (automatic),106.7,Fiber optic,Yes,Yes
Credit card (automatic),55.2,DSL,Yes,No
Electronic check,90.05,Fiber optic,Yes,No
Electronic check,39.65,DSL,Yes,No
Bank transfer (automatic),19.8,No,No internet service,No internet service
Mailed check,20.15,No,No internet service,No internet service
Credit card (automatic),59.9,DSL,No,No
Credit card (automatic),59.6,DSL,No,Yes
Bank transfer (automatic),55.3,DSL,No,Yes
Electronic check,99.35,Fiber optic,No,No
Electronic check,30.2,DSL,No,No
Credit card (automatic),90.25,DSL,Yes,Yes
Mailed check,64.7,DSL,No,No
Credit card (automatic),96.35,Fiber optic,Yes,Yes
Credit card (automatic),95.5,Fiber optic,Yes,No
Mailed check,66.15,DSL,Yes,Yes
Bank transfer (automatic),20.2,No,No internet service,No internet service
Bank transfer (automatic),45.25,DSL,No,No
Bank transfer (automatic),99.9,Fiber optic,No,Yes
Electronic check,69.7,Fiber optic,No,No
Credit card (automatic),74.8,Fiber optic,Yes,No
Electronic check,106.35,Fiber optic,Yes,No
Bank transfer (automatic),97.85,Fiber optic,Yes,No
Mailed check,49.55,DSL,No,No
Credit card (automatic),69.2,DSL,No,Yes
Mailed check,20.75,No,No internet service,No internet service
Credit card (automatic),79.85,DSL,Yes,Yes
Electronic check,76.2,DSL,No,Yes
Electronic check,84.5,Fiber optic,No,No
Mailed check,49.25,DSL,No,No
Electronic check,80.65,Fiber optic,No,No
Credit card (automatic),79.75,DSL,No,Yes
Credit card (automatic),64.15,DSL,Yes,Yes
Electronic check,90.25,Fiber optic,No,No
Credit card (automatic),99.1,Fiber optic,No,Yes
Credit card (automatic),69.5,DSL,No,Yes
Credit card (automatic),80.65,Fiber optic,No,No
Credit card (automatic),74.85,DSL,Yes,Yes
Electronic check,95.45,Fiber optic,No,No
Credit card (automatic),99.65,Fiber optic,No,Yes
Electronic check,108.45,Fiber optic,Yes,No
Credit card (automatic),24.95,No,No internet service,No internet service
Credit card (automatic),107.5,Fiber optic,Yes,No
Electronic check,100.5,Fiber optic,Yes,No
Bank transfer (automatic),89.9,Fiber optic,No,No
Bank transfer (automatic),42.1,DSL,Yes,Yes
Credit card (automatic),54.4,DSL,Yes,No
Electronic check,94.4,Fiber optic,No,No
Electronic check,75.3,DSL,No,No
Electronic check,78.9,Fiber optic,No,No
Mailed check,79.2,DSL,Yes,No
Bank transfer (automatic),20.15,No,No internet service,No internet service
Mailed check,79.85,Fiber optic,Yes,Yes
Mailed check,49.05,DSL,No,No
Electronic check,20.4,No,No internet service,No internet service
Bank transfer (automatic),111.6,Fiber optic,Yes,Yes
Bank transfer (automatic),24.25,No,No internet service,No internet service
Bank transfer (automatic),64.5,DSL,No,Yes
Electronic check,110.5,Fiber optic,Yes,Yes
Credit card (automatic),55.65,DSL,No,No
Mailed check,54.65,DSL,No,Yes
Electronic check,74.75,DSL,No,Yes
Credit card (automatic),25.9,No,No internet service,No internet service
Electronic check,79.35,Fiber optic,No,No
Electronic check,50.55,DSL,No,Yes
Bank transfer (automatic),75.15,Fiber optic,Yes,No
Bank transfer (automatic),103.8,Fiber optic,Yes,No
Bank transfer (automatic),20.15,No,No internet service,No internet service
Credit card (automatic),99.3,Fiber optic,No,No
Bank transfer (automatic),62.15,DSL,No,Yes
Bank transfer (automatic),20.65,No,No internet service,No internet service
Mailed check,19.95,No,No internet service,No internet service
Mailed check,33.75,DSL,No,No
Bank transfer (automatic),82.05,Fiber optic,Yes,No
Electronic check,74.7,Fiber optic,No,No
Mailed check,84.0,DSL,Yes,Yes
Credit card (automatic),111.05,Fiber optic,Yes,Yes
Bank transfer (automatic),100.9,Fiber optic,Yes,No
Electronic check,78.95,Fiber optic,No,Yes
Credit card (automatic),66.85,DSL,No,Yes
Mailed check,21.05,No,No internet service,No internet service
Bank transfer (automatic),21.0,No,No internet service,No internet service
Electronic check,98.5,Fiber optic,Yes,No
Mailed check,20.2,No,No internet service,No internet service
Electronic check,19.45,No,No internet service,No internet service
Bank transfer (automatic),95.0,Fiber optic,Yes,No
Bank transfer (automatic),45.55,DSL,Yes,No
Bank transfer (automatic),110.0,Fiber optic,Yes,No
Mailed check,24.3,DSL,No,No
Electronic check,104.15,Fiber optic,No,Yes
Mailed check,30.15,DSL,No,Yes
Mailed check,94.35,Fiber optic,No,No
Credit card (automatic),19.4,No,No internet service,No internet service
Electronic check,96.75,Fiber optic,No,Yes
Credit card (automatic),57.95,DSL,Yes,Yes
Electronic check,91.65,Fiber optic,Yes,No
Electronic check,76.5,Fiber optic,No,No
Electronic check,54.6,DSL,No,No
Electronic check,89.85,Fiber optic,No,Yes
Bank transfer (automatic),31.05,DSL,No,Yes
Electronic check,100.25,Fiber optic,No,Yes
Mailed check,20.65,No,No internet service,No internet service
Credit card (automatic),85.2,Fiber optic,No,No
Credit card (automatic),99.8,Fiber optic,Yes,No
Mailed check,20.7,No,No internet service,No internet service
Electronic check,74.4,Fiber optic,No,No
Mailed check,50.7,DSL,No,Yes
Mailed check,20.85,No,No internet service,No internet service
Electronic check,88.95,Fiber optic,No,Yes
Electronic check,78.05,Fiber optic,Yes,No
Bank transfer (automatic),23.55,No,No internet service,No internet service
Mailed check,19.75,No,No internet service,No internet service
Electronic check,56.45,DSL,No,Yes
Electronic check,85.95,Fiber optic,No,No
Credit card (automatic),58.6,DSL,Yes,Yes
Bank transfer (automatic),50.55,DSL,No,No
Electronic check,35.45,DSL,No,No
Electronic check,44.35,DSL,No,No
Credit card (automatic),25.7,No,No internet service,No internet service
Bank transfer (automatic),75.0,Fiber optic,No,Yes
Mailed check,20.2,No,No internet service,No internet service
Mailed check,19.6,No,No internet service,No internet service
Mailed check,70.45,Fiber optic,No,No
Credit card (automatic),88.05,DSL,Yes,Yes
Electronic check,71.15,DSL,No,Yes
Bank transfer (automatic),101.05,Fiber optic,No,No
Credit card (automatic),84.3,Fiber optic,No,Yes
Bank transfer (automatic),23.95,No,No internet service,No internet service
Credit card (automatic),99.05,Fiber optic,No,Yes
Mailed check,19.6,No,No internet service,No internet service
Electronic check,45.65,DSL,No,No
Credit card (automatic),64.5,DSL,Yes,No
Mailed check,69.5,DSL,Yes,No
Electronic check,68.55,DSL,No,No
Mailed check,95.0,Fiber optic,No,No
Credit card (automatic),108.15,Fiber optic,Yes,Yes
Electronic check,86.1,DSL,Yes,Yes
Mailed check,19.7,No,No internet service,No internet service
Bank transfer (automatic),80.9,Fiber optic,No,No
Bank transfer (automatic),84.15,Fiber optic,No,No
Mailed check,20.15,No,No internet service,No internet service
Mailed check,64.25,DSL,Yes,Yes
Bank transfer (automatic),25.7,No,No internet service,No internet service
Electronic check,56.0,DSL,No,Yes
Electronic check,82.4,Fiber optic,No,Yes
Electronic check,69.7,Fiber optic,No,No
Bank transfer (automatic),73.9,DSL,Yes,No
Mailed check,20.6,No,No internet service,No internet service
Mailed check,19.9,No,No internet service,No internet service
Bank transfer (automatic),70.9,Fiber optic,No,No
Bank transfer (automatic),89.05,DSL,Yes,Yes
Electronic check,45.3,DSL,Yes,No
Electronic check,20.4,No,No internet service,No internet service
Bank transfer (automatic),84.25,Fiber optic,Yes,Yes
Electronic check,104.4,Fiber optic,Yes,No
Mailed check,81.95,DSL,Yes,No
Bank transfer (automatic),94.85,Fiber optic,Yes,No
Bank transfer (automatic),20.55,No,No internet service,No internet service
Electronic check,24.7,No,No internet service,No internet service
Mailed check,74.45,Fiber optic,No,No
Bank transfer (automatic),76.45,Fiber optic,No,Yes
Bank transfer (automatic),105.35,Fiber optic,Yes,No
Credit card (automatic),20.55,No,No internet service,No internet service
Bank transfer (automatic),29.95,DSL,No,No
Mailed check,45.3,DSL,No,No
Bank transfer (automatic),84.5,Fiber optic,No,No
Credit card (automatic),74.75,DSL,Yes,Yes
Electronic check,79.25,Fiber optic,Yes,No
Electronic check,24.8,DSL,No,No
Mailed check,51.8,DSL,No,No
Electronic check,30.4,DSL,No,No
Electronic check,19.65,No,No internet service,No internet service
Credit card (automatic),56.6,DSL,No,No
Credit card (automatic),71.9,DSL,No,Yes
Electronic check,91.0,Fiber optic,Yes,No
Bank transfer (automatic),19.75,No,No internet service,No internet service
Credit card (automatic),109.7,Fiber optic,Yes,Yes
Credit card (automatic),19.3,No,No internet service,No internet service
Electronic check,96.55,Fiber optic,No,Yes
Bank transfer (automatic),24.1,No,No internet service,No internet service
Electronic check,111.35,Fiber optic,Yes,No
Bank transfer (automatic),112.25,Fiber optic,Yes,No
Mailed check,20.75,No,No internet service,No internet service
Credit card (automatic),101.9,Fiber optic,No,Yes
Credit card (automatic),80.05,Fiber optic,No,No
Electronic check,105.55,Fiber optic,Yes,Yes
Credit card (automatic),78.3,Fiber optic,No,No
Credit card (automatic),68.85,Fiber optic,No,No
Bank transfer (automatic),79.95,Fiber optic,No,No
Credit card (automatic),55.45,DSL,Yes,Yes
Electronic check,79.9,Fiber optic,No,No
Electronic check,106.6,Fiber optic,Yes,Yes
Credit card (automatic),102.45,Fiber optic,Yes,No
Credit card (automatic),46.0,DSL,No,No
Electronic check,25.25,DSL,No,No
Mailed check,19.75,No,No internet service,No internet service
Electronic check,20.0,No,No internet service,No internet service
Electronic check,86.8,Fiber optic,No,No
Bank transfer (automatic),58.75,DSL,Yes,Yes
Credit card (automatic),45.25,DSL,Yes,Yes
Bank transfer (automatic),56.6,DSL,Yes,Yes
Bank transfer (automatic),84.2,DSL,Yes,No
Bank transfer (automatic),80.0,Fiber optic,No,No
Electronic check,70.15,Fiber optic,No,No
Bank transfer (automatic),24.75,No,No internet service,No internet service
Electronic check,20.2,No,No internet service,No internet service
Mailed check,50.05,DSL,No,No
Bank transfer (automatic),19.35,No,No internet service,No internet service
Mailed check,50.6,DSL,No,Yes
Mailed check,81.15,DSL,Yes,Yes
Mailed check,55.2,DSL,No,No
Credit card (automatic),89.9,Fiber optic,No,No
Credit card (automatic),85.3,DSL,No,Yes
Credit card (automatic),108.0,Fiber optic,No,Yes
Credit card (automatic),93.5,Fiber optic,No,Yes
Mailed check,84.6,Fiber optic,No,Yes
Credit card (automatic),20.25,No,No internet service,No internet service
Electronic check,25.15,No,No internet service,No internet service
Mailed check,54.4,DSL,No,No
Mailed check,29.6,DSL,No,No
Electronic check,73.15,Fiber optic,No,No
Electronic check,95.0,Fiber optic,No,No
Mailed check,19.75,No,No internet service,No internet service
Bank transfer (automatic),86.6,DSL,Yes,No
Bank transfer (automatic),109.2,Fiber optic,Yes,No
Credit card (automatic),74.7,DSL,No,Yes
Electronic check,94.4,Fiber optic,Yes,Yes
Electronic check,54.8,DSL,Yes,No
Electronic check,75.35,Fiber optic,No,Yes
Mailed check,65.0,DSL,Yes,No
Electronic check,74.4,Fiber optic,No,No
Mailed check,48.55,DSL,No,Yes
Electronic check,99.0,Fiber optic,Yes,Yes
Electronic check,93.5,Fiber optic,Yes,Yes
Electronic check,70.4,Fiber optic,No,No
Electronic check,40.2,DSL,No,No
